Random waveform, supplied seed
Total number of intervals = 134 (5319, 118456, 14807, 156463, 28584, 8060, 173248, 35709, 53312, 142106, 67298, 9202, 112614, 14678, 84900, 78527, 71117, 143897, 63774, 105494, 52991, 8157, 45523, 143551, 32455, 140524, 79870, 68547, 167378, 71048, 23332, 108627, 31521, 15365, 93741, 88752, 75839, 47638, 164553, 26684, 103013, 168492, 71479, 98086, 145673, 168771, 34906, 28933, 99751, 124678, 108827, 59514, 75254, 14326, 129032, 144334, 67748, 31935, 152964, 24510, 142233, 101923, 56806, 63569, 160336, 21899, 7042, 29634, 150091, 37119, 121334, 93398, 103013, 165910, 80452, 42779, 48458, 122177, 80746, 85092, 159254, 41774, 127008, 76766, 57778, 124636, 99557, 8674, 157899, 11532, 63522, 70274, 142650, 108738, 132659, 24898, 7593, 17596, 136415, 142719, 38570, 9330, 166088, 101314, 147935, 39225, 173098, 127770, 97194, 30527, 109837, 66634, 43157, 99823, 108232, 39166, 44521, 104945, 97301, 73173, 40131, 176336, 127312, 97810, 50882, 72895, 97764, 162367, 31031, 177679, 122047, 167697, 9912, 136895)
Average QPS expected = 85376
Timestamp start: 1747425076197
Timestamp end: 1747425876467

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      248.9   183.9    63.8   105.1   116.0   204.5   273.8   321.7   357.7   396.6   440.9   504.5   639.2  1371.9  9539.5  93337.8    93398
read      250.7   162.4    63.8   106.9   118.2   201.0   264.3   312.2   353.0   399.9   455.2   535.7   705.9  1826.0  3427.1 103126.2   103013
read      238.0   213.3    68.9   116.3   129.8   205.0   243.3   266.0   282.7   303.4   331.6   381.3  1318.6  3177.3  4267.4 165971.3   165910
read      243.2   136.9    68.9   103.0   113.5   210.3   274.8   314.1   343.0   376.8   417.0   473.8   623.8  1328.5  2533.1  80455.5    80452
read      231.6   158.8    63.8   103.5   114.8   218.2   261.8   285.6   302.4   321.1   344.8   381.7   490.6  2089.1  5559.8  42795.8    42779
read      238.6   123.2    59.1   101.4   112.5   225.2   276.7   305.7   325.5   346.6   372.3   409.8   503.6  1432.5  2771.9  48300.2    48458
read      384.1   497.7    63.8   117.8   134.3   233.5   281.5   313.8   343.7   406.8   940.9  1447.3  2611.6  3841.2  7958.0 122151.8   122177
read      249.4   149.1    54.7   103.3   113.9   213.9   286.2   329.8   360.1   392.9   431.3   487.6   617.7  1403.2  4079.2  80615.5    80746
read      253.7   176.0    63.8   104.1   114.9   212.7   286.2   332.8   364.9   398.8   438.1   499.0   640.3  1923.5  5178.9  85090.3    85092
read      244.2   260.4    63.8   114.7   128.1   204.5   245.4   269.6   287.9   309.9   339.4   392.7  1369.0  3417.9  7158.7 159257.0   159254
read      230.6   160.7    68.9   102.4   113.4   218.2   262.2   286.9   304.4   323.8   348.0   386.2   475.6  1567.7  7088.3  41750.5    41774
